model,concurrencyLevel,ioBytesPerTask,mean_avg_latency_us,std_avg_latency_us,trials
fixed-pool,1,65536,379.846812,30.358128,3
virtual-threads,1,65536,1765.651906,431.997217,3
work-stealing,1,65536,346.903656,27.840978,3
fixed-pool,2,65536,535.553802,366.053446,3
virtual-threads,2,65536,2239.847104,184.615183,3
work-stealing,2,65536,283.172781,7.784819,3
fixed-pool,4,65536,444.792979,34.376994,3
virtual-threads,4,65536,2191.657531,578.980637,3
work-stealing,4,65536,877.081563,706.997469,3
fixed-pool,8,65536,1160.704870,35.768519,3
virtual-threads,8,65536,1924.069406,135.419084,3
work-stealing,8,65536,1544.433573,620.156098,3
fixed-pool,1,262144,409.082448,27.312405,3
virtual-threads,1,262144,2040.378448,497.651690,3
work-stealing,1,262144,352.638927,2.716146,3
fixed-pool,2,262144,374.095500,19.580832,3
virtual-threads,2,262144,1979.997813,299.405989,3
work-stealing,2,262144,395.286073,13.337820,3
fixed-pool,4,262144,508.208292,57.869221,3
virtual-threads,4,262144,1831.729979,257.732157,3
work-stealing,4,262144,477.091104,40.367062,3
fixed-pool,8,262144,1172.884323,77.065815,3
virtual-threads,8,262144,3186.203812,1370.309587,3
work-stealing,8,262144,1222.905792,35.693528,3
fixed-pool,1,1048576,689.881500,9.707100,3
virtual-threads,1,1048576,2966.869375,253.052746,3
work-stealing,1,1048576,683.294229,5.761864,3
fixed-pool,2,1048576,670.900167,9.340295,3
virtual-threads,2,1048576,3339.312458,294.926429,3
work-stealing,2,1048576,880.187521,158.540209,3
fixed-pool,4,1048576,791.073344,41.458536,3
virtual-threads,4,1048576,3028.586365,114.004949,3
work-stealing,4,1048576,764.613698,36.111602,3
fixed-pool,8,1048576,1916.246292,654.496854,3
virtual-threads,8,1048576,3403.492656,346.864001,3
work-stealing,8,1048576,1466.916911,26.738118,3
fixed-pool,1,4194304,1565.887958,29.369917,3
virtual-threads,1,4194304,8163.628042,186.789450,3
work-stealing,1,4194304,1515.780833,7.137420,3
fixed-pool,2,4194304,1663.973542,45.694809,3
virtual-threads,2,4194304,8261.934063,65.546978,3
work-stealing,2,4194304,1648.616396,53.853904,3
fixed-pool,4,4194304,2287.151031,42.766486,3
virtual-threads,4,4194304,10079.272115,1560.652986,3
work-stealing,4,4194304,2357.122812,56.491498,3
fixed-pool,8,4194304,4460.318573,45.445101,3
virtual-threads,8,4194304,14043.512776,4205.257627,3
work-stealing,8,4194304,5689.827047,1864.351901,3
