trial,model,workload,concurrencyLevel,ioBytesPerTask,numTasks,seconds,throughputTasksPerSec,avgLatencyMicros
1,fixed-pool-1,io-file-rw-65536B-chunk131072,1,65536,32,0.013779958,2322.213173654085,411.07553125
2,fixed-pool-1,io-file-rw-65536B-chunk131072,1,65536,32,0.012669166,2525.8174058181885,378.0234375
3,fixed-pool-1,io-file-rw-65536B-chunk131072,1,65536,32,0.011842041,2702.236886361059,350.44146875
1,work-stealing-1,io-file-rw-65536B-chunk131072,1,65536,32,0.010910583,2932.932181534204,328.8893125
2,work-stealing-1,io-file-rw-65536B-chunk131072,1,65536,32,0.011030084,2901.1565097781663,332.8515
3,work-stealing-1,io-file-rw-65536B-chunk131072,1,65536,32,0.012592792,2541.1362309486253,378.97015625
1,virtual-threads,io-file-rw-65536B-chunk131072,1,65536,32,0.005526625,5790.152217673534,2255.03521875
2,virtual-threads,io-file-rw-65536B-chunk131072,1,65536,32,0.004680334,6837.118889378407,1604.62371875
3,virtual-threads,io-file-rw-65536B-chunk131072,1,65536,32,0.004449375,7192.021351313387,1437.29678125
1,fixed-pool-1,io-file-rw-262144B-chunk131072,1,262144,32,0.01458,2194.7873799725653,440.61071875
2,fixed-pool-1,io-file-rw-262144B-chunk131072,1,262144,32,0.0129815,2465.04641220198,393.98434375
3,fixed-pool-1,io-file-rw-262144B-chunk131072,1,262144,32,0.013123167,2438.4357830697422,392.65228125
1,work-stealing-1,io-file-rw-262144B-chunk131072,1,262144,32,0.011619666,2753.9517917296416,354.06903125
2,work-stealing-1,io-file-rw-262144B-chunk131072,1,262144,32,0.011627375,2752.1259097603715,354.34121875
3,work-stealing-1,io-file-rw-262144B-chunk131072,1,262144,32,0.011551916,2770.103245210578,349.50653125
1,virtual-threads,io-file-rw-262144B-chunk131072,1,262144,32,0.005730917,5583.748639179384,2290.77340625
2,virtual-threads,io-file-rw-262144B-chunk131072,1,262144,32,0.004504625,7103.80997308322,1467.259125
3,virtual-threads,io-file-rw-262144B-chunk131072,1,262144,32,0.005567417,5747.728255311215,2363.1028125
1,fixed-pool-1,io-file-rw-1048576B-chunk131072,1,1048576,32,0.022422667,1427.1272904333816,690.416625
